"ONSET_YEAR","ONSET_MONTH","ONSET_DAY","COUNTRY","STATE","COUNTY_MUNI","SEROTYPE","SPECIES"
1862,9,NA,"USA","DC",NA,NA,"equine"
1889,NA,NA,"USA","MD",NA,NA,"bovine"
1889,NA,NA,"USA","VA",NA,NA,"bovine"
1906,NA,NA,"USA","CO",NA,NA,NA
1907,NA,NA,"USA","IL","cook",NA,"equine"
1916,8,16,"USA","CO","denver",NA,"bovine"
1916,8,NA,"USA","VA",NA,NA,"equine"
1916,9,NA,"USA","IA","des moines",NA,"equine"
1916,9,NA,"USA","KS","wyandotte",NA,"bovine and equine"
1916,9,NA,"USA","MO","clinton",NA,"equine"
1916,9,NA,"USA","MT","custer",NA,"equine"
1916,9,NA,"USA","NE",NA,NA,"equine"
1916,9,NA,"USA","UT","weber",NA,"equine"
1916,10,19,"USA","IL","cook",NA,"equine"
1916,11,NA,"USA","SD","stanley",NA,"equine"
1916,11,NA,"USA","SD","stanley",NA,"bovine"
1916,NA,NA,"USA","WY",NA,NA,NA
1916,NA,NA,"USA","CA",NA,NA,NA
1925,NA,NA,"USA","IN","wayne","IN","bovine"
1925,NA,NA,"USA","KS",NA,"IN",NA
1926,7,NA,"USA","WI",NA,NA,"bovine and equine"
1926,9,NA,"USA","NJ",NA,"NJ","bovine"
1926,9,NA,"USA","NJ",NA,"NJ","equine"
1926,NA,NA,"USA","CO",NA,NA,NA
1929,NA,NA,"USA","IN",NA,"IN","bovine"
1934,NA,NA,"USA","VA",NA,NA,NA
1934,NA,NA,"USA","WV",NA,NA,NA
1935,NA,NA,"USA","VA",NA,NA,NA
1935,NA,NA,"USA","WV",NA,NA,NA
1937,NA,NA,"CAN","MB",NA,NA,"bovine"
1937,NA,NA,"CAN","MB",NA,NA,"equine"
1937,NA,NA,"USA","MN","ramsey",NA,"bovine"
1937,NA,NA,"USA","MN","ramsey",NA,"equine"
1937,NA,NA,"USA","MT",NA,NA,"equine"
1937,NA,NA,"USA","ND",NA,NA,"bovine"
1937,NA,NA,"USA","ND",NA,NA,"equine"
1937,NA,NA,"USA","WV",NA,NA,"equine"
1937,NA,NA,"USA","WV",NA,NA,"bovine"
1937,NA,NA,"USA","WI","douglas",NA,"bovine"
